,0,1,2,3,4,5,6,7,8,9
0,0.0,3.395931613457552,2.5142766684728364,3.9518051943449177,3.8065753394425625,4.146340812843683,4.146340812843683,3.393947155348445,3.5878340892905944,3.803323581417058
1,3.5192255378453297,0.0,2.4279353929231764,4.0,4.0,4.0,4.0,4.0,3.314550872711358,4.0
2,2.9124472510970594,2.2338225654871917,0.0,2.2922951309743875,3.408259642149737,3.9727183332640843,3.8136368476715963,2.2338225654871917,3.6413695067200873,2.9064453015132363
3,3.4629457707954723,4.0,2.460407958410375,0.0,4.0,4.0,4.0,4.0,3.4591172372299037,4.0
4,3.2923877433120903,4.0,1.8925378176236864,4.0,0.0,4.0,4.0,4.0,3.3738723653907674,4.0
5,3.4146367486252522,4.0,2.3096656950437233,4.0,4.0,0.0,4.0,4.0,3.478857973446431,4.0
6,3.4146367486252522,4.0,2.4157200187720447,4.0,4.0,4.0,0.0,4.0,3.5338334134497065,4.0
7,3.517781275814654,4.0,2.4279353929231764,4.0,4.0,4.0,4.0,0.0,3.314550872711358,4.0
8,3.256852290358532,3.254267493688382,2.500542422422481,3.904167344294709,3.7922833791806654,3.8965305498879452,3.815056330258541,3.254267493688382,0.0,3.6432746967966865
9,3.7843505274581837,4.0,2.6902238933305167,4.0,4.0,4.0,4.0,4.0,3.595306574735679,0.0
