,1,2,3,4,5,6,7,8,9,10
1,0,2.794345021,2.197559046,3.694758948,3.626947894,4.285153397,4.285153397,2.788470903,3.106768931,3.701728756
2,3.055332359,0,2.169679815,4,4,4,4,4,2.820063307,4
3,2.490808376,2.037436085,0,2.065619674,3.418066715,3.59477721,3.211376917,2.037436085,3.044162406,2.523953007
4,3.008582907,4,2.193906745,0,4,4,4,4,2.925919162,4
5,2.568845873,4,1.40230095,4,0,4,4,4,2.707907232,4
6,2.859386413,4,1.930241052,4,4,0,4,4,2.90800767,4
7,2.859386413,4,2.185841247,4,4,4,0,4,3.072437302,4
8,3.051132213,4,2.169679815,4,4,4,4,0,2.820063307,4
9,2.805073655,2.767104943,2.275809593,3.617573655,3.683528123,3.666316654,3.418492817,2.767104943,0,3.216855369
10,3.686054298,4,2.417579742,4,4,4,4,4,3.157353299,0
