,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0,3.65193572,3.53256635,3.575115656,3.900018262,3.90764244,2.762204772,3.427745313,2.419618943,2.771411614,3.17556915,1.852477477,1.441974069,3.597105551,3.189006574,3.65193572,3.017226686,2.23243852,2.789901388,3.344868517,3.639715729,3.775231312,4.018535427,2.362323472,2.878378378,2.124878257,2.478603604,2.868349769,3.574689554,3.621941198,3.285305576,3.091064037,2.787740443,2.789901388
2,3.202322255,0,3.640628804,3.350894814,3.586909545,3.914581812,2.869262844,2.897461651,2.651905284,2.869232408,3.491127952,1.347638179,1.172586438,3.666210129,3.06476747,3.75570672,3.04749513,1.899637813,2.971922936,3.362353908,3.743228025,3.774698685,3.963157414,2.017181032,2.315010957,1.335737765,1.951013514,2.391815802,3.570489408,3.80452581,3.512372169,3.082465912,2.565665327,2.971922936
3,3.251491356,3.745708546,0,3.378545776,3.62528914,3.921490748,2.86007122,2.902498783,2.591718408,2.847942537,3.439858778,1.425751765,1.272126857,3.65537497,3.091277088,3.745708546,2.982666788,2.171566837,2.944211103,3.365671415,3.72899927,3.784696859,3.969898953,2.193404553,2.360649501,1.428186633,2.040129657,2.415068785,3.56323046,3.782475043,3.449765644,3.050432189,2.572224251,2.944211103
4,2.666986243,2.946250304,2.920182006,0,3.560095569,3.621104212,3.354714512,3.902787923,3.456126735,3.295486365,3.855505844,1.746073776,1.418614561,3.367010592,2.570778549,2.946250304,3.662420867,3.0238617,3.591535793,2.694941563,3.089405284,3.416697103,3.979318846,1.896776844,2.820428537,1.859569028,3.165586194,3.885500365,3.471116387,3.983336377,3.998615169,3.595751157,2.866691015,3.591535793
5,1.614590942,3.210266009,3.019996348,4.07354821,0,3.644661553,3.210996469,3.484964694,3.22548393,3.174047358,3.751521792,1.712959581,0.798332116,3.191106647,2.629656684,3.210266009,3.449704772,1.168751522,3.330609326,2.887372169,3.20484843,3.279735817,4.060567324,1.428217068,2.145255052,1.493425858,2.16642318,3.94628074,3.154294497,4.0540084,4.100453494,3.436891283,2.662481738,3.330609326
6,2.481571098,3.560841247,3.426832238,3.874026053,3.575343925,0,3.234112491,3.100620891,3.379108839,3.176482225,3.744049793,1.737110421,0.849829559,3.572711225,2.78490991,3.560841247,3.357468955,1.608945094,3.502906623,3.090211833,3.570078524,3.597942537,3.974038227,1.532444607,2.266891892,1.2516131,2.14183102,3.377221816,3.481068907,3.906364134,3.794558072,3.414125274,2.569911127,3.502906623
7,2.353907962,2.90259009,2.822863404,3.98572559,3.684730338,3.692856708,0,3.613099586,2.683223764,2.854181885,3.561647796,1.878013148,1.806367178,3.310004261,2.813139153,2.90259009,3.120936815,2.457663745,2.911203433,2.845842464,3.026007426,3.593407597,3.98543645,2.231951546,2.964511809,2.095629413,2.426177867,3.212807402,3.41649927,3.982697224,4.045608108,3.188047845,2.969838081,2.911203433
8,2.81864804,3.076196129,2.970598977,3.963431337,3.643763696,3.552897492,3.231281958,0,3.345385926,3.182356343,3.748432554,1.96326394,1.552593134,3.185795593,2.860132092,3.076196129,3.549427806,2.475590455,3.489712686,2.928856221,3.108655953,3.285305576,3.981662406,2.40368578,2.841109691,2.14534636,3.561206477,3.851107865,3.253956659,3.955731069,3.94057402,3.515598369,2.992999757,3.489712686
9,2.205274531,2.711102995,2.605718895,3.957100682,3.626932676,3.820048089,2.761748235,3.756498052,0,2.756300219,3.482742878,1.960783419,1.951683102,3.397811663,2.771655101,2.711102995,3.12734356,2.223201242,2.726351351,2.744765035,2.879352325,3.667336255,3.966414049,2.326865717,3.025566107,1.924138666,1.911355612,3.213446555,3.461376917,3.972029462,4.024622596,3.130448016,3.015476625,2.726351351
10,2.318298028,2.901646579,2.812484782,3.989880083,3.712761748,3.666955807,2.860953859,3.575206964,2.677167032,0,3.562850012,1.857331994,1.77678354,3.270087655,2.810795593,2.901646579,3.097942537,2.44093925,2.902620526,2.840135744,2.987384344,3.55452581,3.996423789,2.226046993,2.910077307,2.067324081,2.358625517,3.188839177,3.392896275,3.98814524,4.050325664,3.170258096,2.964450937,2.902620526
11,2.686541271,2.804951911,2.719822863,4.012630874,3.448456903,3.726625274,3.200906988,3.839055271,3.190406623,3.153107499,0,1.814828342,1.751521792,3.382669832,2.574841734,2.804951911,3.423697346,2.373949963,3.34967738,2.637280862,2.965698807,3.589770514,3.932401997,1.714070489,3.080350621,2.1043645,3.058725956,3.720446798,3.464785732,3.952307037,4.022674702,3.43434989,2.977629657,3.34967738
12,2.546338568,3.327717921,3.192628439,3.861821281,3.936602143,3.278305332,2.564341368,3.127739226,2.281957633,2.606129778,3.094122839,0,2.090242269,3.1011383,3.25643718,3.327717921,2.506315437,2.6498813,2.415418797,3.2817598,3.273359508,3.189584855,3.936799976,3.207268079,2.722075116,2.081476747,2.092296689,2.77151814,3.249299976,4.006361091,3.502541393,2.68479121,2.916164475,2.415418797
13,3.131391527,3.53410336,3.384982956,3.171566837,4.101990504,4.024744339,2.579741904,2.970598977,2.289368761,2.623508644,2.67220599,2.090470538,0,3.556291088,3.501993548,3.53410336,2.464481373,2.792366691,2.411294741,3.524211712,3.54303628,3.962792184,4.102127465,3.224342586,2.757030679,2.161781714,2.186267348,2.335600804,3.561617361,3.37463477,2.593498904,2.591596664,2.498767348,2.411294741
14,2.90537497,3.649622596,3.515826637,3.726229608,3.6276327,3.899744339,3.079909301,2.962472608,3.115823594,3.033144631,3.627982712,1.671795106,1.160077307,0,2.981160214,3.649622596,3.236836499,2.033098977,3.316365352,3.233655953,3.639061359,3.711057341,3.979014487,2.067217555,2.399333455,1.404781471,2.128119674,2.97965364,3.526311785,3.839268322,3.651768322,3.239636596,2.620571585,3.316365352
15,2.5667458,3.518033236,3.321448137,3.507213294,3.820078524,3.82398953,2.849586073,2.788075237,2.689250061,2.837959581,3.425295228,1.511017775,1.185902118,3.350727417,0,3.518033236,2.936617361,1.663379596,2.867375822,3.242969321,3.473490382,3.608229851,3.992132335,2.131817628,2.057462868,1.446935111,1.489362673,2.485603847,3.271259435,3.80979121,3.679312759,2.95821159,2.567293645,2.867375822
16,3.202322255,3.75570672,3.640628804,3.350894814,3.586909545,3.914581812,2.869262844,2.897461651,2.651905284,2.869232408,3.491127952,1.347638179,1.172586438,3.666210129,3.06476747,0,3.04749513,1.899637813,2.971922936,3.362353908,3.743228025,3.774698685,3.963157414,2.017181032,2.315010957,1.335737765,1.951013514,2.391815802,3.570489408,3.80452581,3.512372169,3.082465912,2.565665327,2.971922936
17,2.84594899,3.006863282,2.912588264,3.940908814,3.628895788,3.502039201,3.058999878,3.770544193,2.990762722,3.024668249,3.53981008,2.04369065,1.89000487,3.303034453,2.816395788,3.006863282,0,2.603710129,3.148663867,2.869475895,3.123919528,3.251841368,3.96897066,2.215927076,2.981601534,2.169740687,2.95828768,3.319135013,3.503195763,3.894768079,3.99194972,3.318024105,2.919147188,3.148663867
18,3.158677258,3.604044923,3.498417336,3.791910153,3.996393353,3.996941198,2.767500609,2.919268931,2.39409849,2.787070855,3.192674093,1.748523862,1.667077551,3.634785123,3.408494643,3.604044923,2.825130874,0,2.772157292,3.491234478,3.615214877,3.938489165,4.061663014,3.181823716,2.724570855,1.774729121,2.273633431,2.450389579,3.619034575,3.629154492,2.97592525,2.896746409,2.625684806,2.772157292
19,2.591535793,2.979988434,2.918644996,3.946265522,3.567247991,3.794101534,2.882137205,3.766678841,2.64995739,2.87507609,3.537314341,1.959718164,1.921125517,3.486501704,2.819515461,2.979988434,3.178110543,2.591977112,0,2.871241174,3.139578768,3.764076577,3.933010713,2.252693572,3.193450207,2.203950572,2.795090699,3.171992939,3.543218895,3.948335159,3.996225956,3.291666667,3.008339421,2.965181398
20,2.864210494,3.658646822,3.49509983,3.390628804,3.722836012,3.883826394,2.865625761,2.801025688,2.678034453,2.853679693,3.443906745,1.438641344,1.17608656,3.505219747,3.067278427,3.658646822,2.959565985,1.699856952,2.907992452,0,3.626308741,3.706689798,3.98053628,2.084109447,2.116797541,1.385089481,1.65112917,2.402331385,3.403990139,3.79303628,3.590622717,3.022111639,2.556245435,2.907992452
