,1,2,3,4,5,6,7,8,9,10
1,0,3.475653927,2.317677259,2.95421403,3.559655326,4.003585965,3.984278559,3.413944706,3.464648628,3.332517517
2,3.240640035,0,2.40633605,3.337787444,3.62574851,3.974110141,3.976901436,3.581953571,3.506556544,3.360412499
3,2.799138042,3.372687968,0,2.263729743,3.403860613,3.962957214,3.822830699,3.155431056,3.538208725,2.849218699
4,3.288179647,3.474689631,2.397897796,0,3.680307192,3.840272449,3.760338266,3.472412007,3.266716528,3.189873542
5,2.922273607,3.554990658,1.919924551,2.801344289,0,3.903987745,3.823366931,3.516427364,3.282865021,3.478505236
6,3.109894857,3.93403651,2.204922579,3.254546242,3.567454216,0,3.997715517,3.687329469,3.429300076,3.656476225
7,3.125532414,3.934940103,2.335926919,3.401780386,3.487056871,3.985303056,0,3.673609771,3.502779781,3.679225886
8,3.227019071,3.634468454,2.374629799,3.248643896,3.524347955,3.923854508,3.890423428,0,3.406714331,3.415474775
9,3.122075261,3.687547331,2.419912419,3.089839807,3.542846608,3.916432652,3.832061195,3.505736897,0,3.389534406
10,3.38398249,3.421854247,2.478379622,3.086498674,3.655779705,3.960339287,4.022060729,3.524524308,3.480164463,0
