,1,2,3,4,5,6,7,8,9,10
1,0,3.171977721,1.945580716,2.490945337,3.394235452,4.002739226,3.886276479,3.075222182,2.939265279,3.125121743
2,2.899120404,0,2.20982469,3.202672267,3.526235695,3.959322498,3.964161797,3.362871317,3.046627709,3.141481008
3,2.630158875,2.802562698,0,2.048849525,3.392439737,3.699004748,3.253378378,2.733351595,2.991432311,2.54178841
4,2.989256148,3.267957146,2.164201364,0,3.553567081,3.771533358,3.595933772,3.182797663,2.791529705,2.924138666
5,2.416560141,3.344685902,1.456796323,2.285001217,0,3.861912588,3.710129048,3.31257609,2.621134648,3.344853299
6,2.683954224,3.902027027,1.785122961,3.092129291,3.438930485,0,3.998797784,3.608838568,2.813504383,3.596725103
7,2.759237278,3.910975164,2.112719138,3.365230095,3.335692111,3.981525444,0,3.534651205,3.016557098,3.62916971
8,2.894737643,3.399013879,2.114743121,3.04324933,3.364773557,3.891130996,3.7696159,0,2.909042488,3.217479304
9,2.817445824,3.266678841,2.19971999,2.719092403,3.451576577,3.752145727,3.47050767,3.133887266,0,3.048134283
10,3.193450207,3.171992939,2.203950572,2.795090699,3.543218895,3.948335159,3.996225956,3.291666667,3.008339421,0
